ph,TDS,Turbidity,Temperature
,20791.31898,2.963135381,29.3
3.716080075,18630.05786,4.500656275,24
8.099124189,19909.54173,3.05593375,24
8.316765884,22018.41744,4.628770537,25.5
9.092223456,17978.98634,4.075075425,26
5.584086638,28748.68774,2.559708228,25.5
10.22386216,28749.71654,2.672988737,25.5
8.635848719,13672.09176,4.401424715,28.5
,14285.58385,3.595017181,28.5
11.18028447,25484.50849,4.370561937,24
7.360640106,32452.61441,3.662291783,24
7.974521649,18767.65668,4.011718108,23
7.119824384,18730.81365,3.445756223,22
,27331.36196,4.413974183,24
7.496232208,28388.00489,4.777382337,26
6.347271761,41065.23476,4.376348291,24
7.0517858,30980.60079,4.268428858,26
9.181560007,24041.32628,4.503660796,27
8.975464348,19460.39813,2.43608559,28
7.371050302,25630.32004,2.560299148,27.8
,22305.56741,4.133422644,28
6.660212026,30944.36359,3.749701241,22.4
,17107.22423,5.459250956,21.3
3.902475686,21167.5001,4.528522696,24.1
5.400301781,17266.59342,4.82478639,25.5
6.514415093,21218.70287,5.200885077,24.5
3.445061864,33424.76868,4.184396969,21.8
,13224.93564,4.004871128,23.4
,26362.96501,3.991564248,25
,15193.41347,6.038184953,24.5
7.181448581,15196.22999,5.088859989,20
9.825489908,19677.89247,2.857472426,24.5
10.43329098,22326.89205,5.057310517,25
7.414148196,32555.85254,3.160624468,23
,14787.20626,5.029166724,22
5.115817064,19620.54533,3.902088768,28
3.641629777,24752.07246,3.464353035,25
5.618064406,17281.97517,2.896546941,23
,19942.27322,2.907563915,26.5
9.267187531,24683.72357,4.324004646,25
,11703.92391,3.510004045,25
5.331940479,16658.8765,4.434820258,25
7.145771545,28780.34043,5.182590704,27.5
9.920691059,9973.934059,4.69070723,26
4.758439425,21568.42878,4.542801462,24.5
5.702925977,35606.44018,4.137739016,25.5
6.953864226,10575.18628,3.195710328,24
10.68296643,15758.74062,3.999775382,25.8
,34415.85315,4.405586,24.3
8.757257397,21536.22469,3.626135442,25.5
,27492.30731,3.048057223,26.5
7.809631898,12013.55063,2.447444464,24
6.652488091,19871.78845,3.742090426,22.5
9.147197055,11920.61084,3.794531591,22.5
10.56074464,21783.65103,3.96468635,24
7.484254838,30616.61515,4.781188177,28.5
8.520806573,28779.65001,3.94060453,28
4.999413811,24323.8659,4.460683932,24
,16963.62501,4.405385706,24
,20557.24043,4.08990769,23.8
3.906078355,32144.79993,3.902879712,27
6.391353624,20965.47831,3.923749169,26
,35729.69271,3.855602212,23.8
8.692092013,24656.23968,4.477960248,21.8
8.085759801,32653.91036,4.068688909,23
6.203977702,21815.07415,5.215689206,25
5.058108869,34873.93452,5.106655774,27.5
,27420.16742,4.620793452,26.2
,12830.48413,3.439740042,23.5
7.261550522,24964.7777,3.636364183,22.5
7.160467231,6743.346066,3.884891044,27.5
5.704764776,33223.58153,4.157533407,27
6.217273135,19460.38282,5.325833446,28
8.67993497,22984.05095,3.873470298,29
,14859.46642,4.655916599,28.5
6.897322141,25650.77764,5.02278363,26
3.514545529,23029.66361,3.762615331,24.2
3.722500486,37962.16799,3.662837732,23.5
6.455004797,24468.04839,2.293431406,25.5
7.316804754,31903.39981,3.50837265,27
1.844538366,28689.59578,5.013463351,24.5
5.519125656,12531.60192,3.75899586,23
7.408985467,9566.12227,3.772420928,24
5.976769618,27267.98186,2.994671096,27
6.395359132,23827.27502,4.191217515,28
6.20964226,13116.70771,3.612519615,29
6.762832522,27159.38435,4.916579161,24.5
9.918717064,21470.27831,3.385508444,24
10.15544017,12652.36298,5.00246726,26
8.721726711,28608.05208,2.555026904,25.5
,17153.30616,4.383921814,26
,29721.91163,3.355164642,25.5
6.099646705,20416.841,3.172789769,29.3
9.02678772,27965.07215,2.019042018,24
6.953371603,11609.10905,3.651865808,24
6.140877557,26687.87448,5.359460295,25.5
7.077874007,23873.37821,4.764508265,26
5.488314309,21485.1532,5.066786272,25.5
7.205559175,24627.86756,3.710053126,25.5
9.177869866,20868.33122,3.108769988,28.5
4.270716195,24405.25053,3.763905903,28.5
7.348844512,11519.04653,4.880875156,24
8.52616987,11837.12336,5.083014142,24
,36152.8209,3.995973787,23
2.612035915,34798.25259,4.76520537,22
8.490571562,22989.79639,3.875556805,24
,22539.71161,3.398592587,26
8.858401531,9624.300462,5.525726338,24
6.098156521,27776.90105,3.977362364,26
8.419970682,13237.9896,3.962478314,27
9.286155021,12311.26837,5.23998187,28
7.875895135,12710.24945,4.238589203,27.8
7.725332908,36477.73811,3.724836704,28
3.388090611,20230.12558,2.798600948,22.4
6.745306715,21871.8387,3.90235259,21.3
,28062.64189,5.629015636,24.1
7.183825723,14100.96899,4.597165512,25.5
10.1119767,15331.30269,3.425763242,24.5
7.397413299,8855.114121,3.14915751,21.8
7.812804388,42550.84182,6.204846359,23.4
6.877456933,27433.58729,3.827650072,25
,16367.45837,4.664350321,24.5
,27418.78104,4.197595209,20
7.521051679,26865.37374,2.880785347,24.5
8.550875469,28918.41995,3.772886607,25
10.30847766,27653.23518,3.285077052,23
,29368.67418,5.052736766,22
7.371085073,24913.83717,4.412589537,28
11.18069466,16600.39275,3.809841654,25
6.506487767,17087.0769,3.548775589,23
6.643935775,10909.19459,3.812952926,26.5
5.03377399,34971.80748,3.244948477,25
6.912607562,17973.17886,2.612248953,25
7.977635991,32170.06916,3.5521295,25
6.078335837,35957.79218,4.201580906,27.5
6.242414484,28149.41179,4.508705098,26
6.06335479,14775.1456,3.467336915,24.5
8.129585514,27834.2177,3.362537135,25.5
9.562405944,13041.82914,3.762719837,24
8.167792632,27141.3629,4.289395484,25.8
8.594416135,15791.67535,3.568991708,24.3
,20944.62081,3.679795035,25.5
6.825467901,46140.12685,3.027449578,26.5
7.861177701,25145.02412,4.157656628,24
4.96577356,21802.7449,3.421766849,22.5
6.207432968,13442.60347,3.549298841,22.5
,20067.10533,4.417559791,24
9.769251006,8471.677381,4.636556195,28.5
9.63066548,23641.70257,4.920091158,28
5.187471605,20060.07873,3.203257896,24
7.633570088,16312.15497,2.927066767,24
5.77119905,24909.44401,4.688959065,23.8
6.579969329,17657.08418,4.575931872,27
4.801154368,13556.7344,4.418638132,26
7.948815718,19129.45837,3.692250861,23.8
6.906992172,19991.23915,2.124759352,21.8
,22452.09081,4.444350199,23
,12224.31051,3.463172548,25
8.461330874,34406.77645,3.771944146,27.5
7.726134808,21667.86874,3.720636904,26.2
,19549.49934,3.777737414,23.5
8.927078148,22821.25438,4.601860959,22.5
6.20801554,17358.79637,4.334615732,27.5
6.128425635,9615.83271,4.633823862,27
,11981.74019,2.678910713,28
7.308048848,14600.53952,3.696119712,29
,39906.19027,4.353238589,28.5
8.640886409,26473.71324,5.263101572,26
,20406.92767,4.102529482,24.2
8.153210075,10280.9295,2.905788134,23.5
8.29372011,35216.38597,3.954715283,25.5
,21136.28676,3.310858508,27
,26009.07526,3.706601792,24.5
9.489972878,15513.74038,4.219967522,23
7.830976343,7695.063935,4.588784657,24
4.430281212,28862.25717,4.384565156,27
7.240739639,23783.09956,3.556297467,28
,19517.7248,3.665521764,29
6.867301322,24112.15347,3.82359504,24.5
6.129637015,30989.94841,4.615886181,24
7.917049443,27192.28056,3.659484625,26
6.511618075,29136.81462,4.850433708,25.5
5.323815584,37625.75268,2.880721846,26
6.769572869,11067.18115,5.22054027,25.5
5.87797404,13652.2932,4.032259504,28
9.534021716,9472.61492,2.768238928,25.5
6.340027628,45222.50667,3.686001324,25.5
8.66159243,27088.47646,3.67043101,26.3
5.653506135,16462.46009,5.198985504,28
6.626012184,25839.8941,4.194313129,24.5
7.793833573,18344.68036,4.172935335,23.5
7.59312765,18371.0572,3.377337638,23
7.362736502,16268.44861,4.408513182,NULL
9.320305445,16002.13832,4.205809732,28.5
3.719791644,23590.93213,2.718397734,25
6.655605026,20571.84571,2.951644715,22
9.868877881,15326.85591,3.355489791,25
5.590614436,35370.73552,4.726845017,26.5
5.554436511,31344.46039,2.095914087,24
4.126528715,11215.9459,4.460200984,27.5
5.970035657,16324.1152,5.428674072,NULL
,16162.26231,4.600927569,24.5
8.369154354,12975.90033,3.629749331,23
6.284248242,12206.68121,3.377132289,24
11.26782838,6040.369868,4.153347001,26
9.298018008,13990.5134,3.681324244,24.5
7.895469246,7769.616119,4.2369473,27
7.947485786,34440.77343,3.70085384,24.5
10.02615916,14962.17783,4.182277582,30
6.48819324,34864.42789,4.592073571,28.5
5.869736755,22244.21824,4.689315048,28
,21410.31962,3.659974812,21.5
5.30414266,25299.51156,4.165723664,27.5
7.533614823,11642.72754,3.462763987,27
4.077607725,18194.95414,2.758658531,26.5
,37928.14218,3.87385335,25.5
7.086168401,4304.492483,3.416539753,23.5
6.271012171,24846.14187,5.303581361,22.5
7.957768344,17162.39842,3.450745892,20.2
8.875642278,28487.7086,4.006991559,26
,18257.56927,4.358298341,25
6.613709118,25648.5695,3.539771111,28
7.735705022,16723.97724,2.148611536,24.5
9.925041328,10704.60318,4.703803489,22
9.00258311,19523.12486,4.904837415,22.5
5.095766465,26307.29845,4.35219347,24
8.594677108,23220.12061,4.754072499,24
7.083779061,8580.245561,3.887680685,24
7.682872498,12105.72193,3.778606788,24
,18272.50597,3.313199022,25.8
6.419772474,30759.68144,3.095233157,22
4.443238899,25008.53225,3.268324836,22
6.978664262,23114.44608,4.766943236,25
6.623613566,17167.3013,2.915165951,19.5
3.664710562,28102.75663,3.316157657,20.5
4.814135621,17650.40505,5.190851805,22.5
5.779673705,24160.35432,4.656377233,24.8
6.937818783,12626.19792,3.724089564,25.5
7.436782609,28544.61629,3.727663719,26
4.723312573,22833.19204,3.917586695,26.5
9.380658051,15156.78983,4.034349047,21
7.810144933,20418.88993,4.033773709,21
9.436637164,20724.93036,4.41111744,22.3
9.406325753,27948.58945,3.097277957,27.8
6.321259315,8532.139517,4.501457204,20.5
,17984.32744,3.605154199,24.5
4.705356496,19555.76505,3.437450134,26.7
8.896418988,8870.902966,3.700945733,23.5
6.581878202,37169.4444,4.201662864,26.3
6.755145902,18536.69865,5.162729749,24.8
9.445129838,13168.52916,3.875165247,29.8
9.024845037,19859.67648,3.985250506,27.8
,23403.6373,2.747312999,26
6.80011909,39143.40333,3.8549399,24.3
7.174135163,20401.10246,3.939895657,25.5
7.657991237,14245.78912,2.437296288,25.3
8.322986672,28049.64628,4.052135728,26.3
5.934279093,23249.65383,5.217895024,24
9.802720782,27357.45674,2.764633881,23
6.101955231,15976.92623,3.53559633,26.5
4.997770601,26849.19474,3.404632906,28
4.815766791,16392.13507,4.375223811,28.5
6.548020558,25508.38695,3.611860372,27
13.17540172,19237.94968,4.10692449,28
6.618010906,19598.86074,4.437695749,25.5
